,Año,Mes,Nacionalidad,Femenino,Masculino,Indefinido,Total,long,lat
83,2012,Enero,Bahréin,0,1,,1,-74.140516,4.697157
84,2012,Enero,Bangladesh,0,1,,1,-74.140516,4.697157
85,2012,Enero,Barbados,1,0,,1,-75.516486,10.446304
86,2012,Enero,Barbados,2,3,,5,-74.140516,4.697157
87,2012,Enero,República de Belarús,0,1,,1,-75.516486,10.446304
88,2012,Enero,República de Belarús,1,1,,2,-74.140516,4.697157
89,2012,Enero,Bélgica,2,3,,5,-69.941498,4.191162
90,2012,Enero,Bélgica,1,1,,2,-76.876446,0.33002
91,2012,Enero,Bélgica,14,14,,28,-77.35600000000001,0.81488
92,2012,Enero,Bélgica,1,2,,3,-75.527794,10.406342
93,2012,Enero,Bélgica,2,8,,10,-75.516486,10.446304
94,2012,Enero,Bélgica,0,3,,3,-74.77647900000001,10.886686
95,2012,Enero,Bélgica,0,3,,3,-72.129595,11.360028999999999
96,2012,Enero,Bélgica,0,2,,2,-81.372937,13.338761300000002
97,2012,Enero,Bélgica,7,23,,30,-76.532004,3.451668
98,2012,Enero,Bélgica,137,304,,441,-74.140516,4.697157
99,2012,Enero,Bélgica,4,11,,15,-75.42726,6.170465
100,2012,Enero,Bélgica,0,1,,1,-67.48402800000001,6.185536
101,2012,Enero,Bélgica,4,3,,7,-72.453013,7.819
102,2012,Enero,Bélgica,0,2,,2,-77.35002,8.63337
103,2012,Enero,Belice,3,0,,3,-72.129595,11.360028999999999
104,2012,Enero,Belice,0,1,,1,-76.532004,3.451668
105,2012,Enero,Belice,5,7,,12,-74.140516,4.697157
106,2012,Enero,Belice,0,2,,2,-75.42726,6.170465
107,2012,Enero,Belice,1,1,,2,-73.181317,7.1280470000000005
108,2012,Enero,Bermudas/Territorio Británico de Ultramar,0,2,,2,-76.532004,3.451668
109,2012,Enero,Bolivia,19,25,,44,-77.35600000000001,0.81488
110,2012,Enero,Bolivia,4,3,,7,-75.527794,10.406342
111,2012,Enero,Bolivia,6,15,,21,-75.516486,10.446304
112,2012,Enero,Bolivia,0,1,,1,-74.77647900000001,10.886686
113,2012,Enero,Bolivia,8,10,,18,-81.70216500000001,12.5862
114,2012,Enero,Bolivia,20,18,,38,-76.532004,3.451668
115,2012,Enero,Bolivia,330,416,,746,-74.140516,4.697157
116,2012,Enero,Bolivia,0,2,,2,-75.736374,4.815189
117,2012,Enero,Bolivia,16,19,,35,-75.42726,6.170465
118,2012,Enero,Bolivia,1,3,,4,-72.453013,7.819
119,2012,Enero,Bosnia y Herzegovina,0,1,,1,-74.140516,4.697157
120,2012,Enero,Botsuana,0,1,,1,-74.140516,4.697157
121,2012,Enero,Brasil,94,111,,205,-69.941498,4.191162
122,2012,Enero,Brasil,0,1,,1,-76.876446,0.33002
123,2012,Enero,Brasil,17,35,,52,-77.35600000000001,0.81488
124,2012,Enero,Brasil,51,39,,90,-75.527794,10.406342
125,2012,Enero,Brasil,82,90,,172,-75.516486,10.446304
126,2012,Enero,Brasil,8,23,,31,-74.77647900000001,10.886686
127,2012,Enero,Brasil,21,27,,48,-72.129595,11.360028999999999
128,2012,Enero,Brasil,6,15,,21,-81.70216500000001,12.5862
129,2012,Enero,Brasil,26,50,,76,-76.532004,3.451668
130,2012,Enero,Brasil,0,1,,1,-75.76635300000001,4.45285
131,2012,Enero,Brasil,3820,4946,,8766,-74.140516,4.697157
132,2012,Enero,Brasil,22,114,,136,-75.736374,4.815189
133,2012,Enero,Brasil,60,93,,153,-75.42726,6.170465
134,2012,Enero,Brasil,1,1,,2,-67.48402800000001,6.185536
135,2012,Enero,Brasil,3,4,,7,-70.74025300000001,7.088728999999999
136,2012,Enero,Brasil,1,1,,2,-73.181317,7.1280470000000005
137,2012,Enero,Brasil,19,25,,44,-72.453013,7.819
138,2012,Enero,Brasil,0,2,,2,-72.508188,7.927233
139,2012,Enero,Brasil,0,1,,1,-77.35002,8.63337
140,2012,Enero,Bulgaria,1,3,,4,-75.516486,10.446304
141,2012,Enero,Bulgaria,0,1,,1,-74.213989,11.247722999999999
142,2012,Enero,Bulgaria,1,1,,2,-76.532004,3.451668
143,2012,Enero,Bulgaria,6,8,,14,-74.140516,4.697157
144,2012,Enero,Burkina Faso,1,0,,1,-74.140516,4.697157
145,2012,Enero,Islas Caimán/Territorio Británico de Ultramar,0,6,,6,-81.70216500000001,12.5862
146,2012,Enero,Islas Caimán/Territorio Británico de Ultramar,1,1,,2,-76.532004,3.451668
147,2012,Enero,Islas Caimán/Territorio Británico de Ultramar,1,1,,2,-74.140516,4.697157
148,2012,Enero,Camerún,1,2,,3,-74.140516,4.697157
149,2012,Enero,Canadá,7,14,,21,-69.941498,4.191162
150,2012,Enero,Canadá,23,41,,64,-77.35600000000001,0.81488
151,2012,Enero,Canadá,8,19,,27,-75.527794,10.406342
152,2012,Enero,Canadá,1237,1252,,2489,-75.516486,10.446304
153,2012,Enero,Canadá,5,16,,21,-74.77647900000001,10.886686
154,2012,Enero,Canadá,1,0,,1,-74.213989,11.247722999999999
155,2012,Enero,Canadá,6,7,,13,-72.129595,11.360028999999999
156,2012,Enero,Canadá,2,3,,5,-81.703935,12.574411099999999
157,2012,Enero,Canadá,600,568,,1168,-81.70216500000001,12.5862
158,2012,Enero,Canadá,0,1,,1,-81.372937,13.338761300000002
159,2012,Enero,Canadá,42,52,,94,-76.532004,3.451668
160,2012,Enero,Canadá,8,15,,23,-75.76635300000001,4.45285
161,2012,Enero,Canadá,730,1402,,2132,-74.140516,4.697157
162,2012,Enero,Canadá,4,6,,10,-75.736374,4.815189
163,2012,Enero,Canadá,102,215,,317,-75.42726,6.170465
164,2012,Enero,Canadá,1,4,,5,-73.181317,7.1280470000000005
165,2012,Enero,Canadá,5,9,,14,-72.453013,7.819
166,2012,Enero,Canadá,1,7,,8,-72.508188,7.927233
167,2012,Enero,Canadá,3,13,,16,-77.35002,8.63337
168,2012,Enero,Chad,0,2,,2,-74.140516,4.697157
169,2012,Enero,España,1,0,,1,-76.876446,0.33002
170,2012,Enero,España,14,27,,41,-77.35600000000001,0.81488
171,2012,Enero,España,10,14,,24,-75.516486,10.446304
172,2012,Enero,España,3,11,,14,-74.77647900000001,10.886686
