,Año,Mes,Nacionalidad,Femenino,Masculino,Indefinido,Total,long,lat
3875,2012,Abril,Venezuela,28,45,,73,-67.48402800000001,6.185536
3876,2012,Abril,Venezuela,47,47,,94,-70.74025300000001,7.088728999999999
3877,2012,Abril,Venezuela,5,6,,11,-73.181317,7.1280470000000005
3878,2012,Abril,Venezuela,1276,1365,,2641,-72.453013,7.819
3879,2012,Abril,Venezuela,225,220,,445,-72.508188,7.927233
3880,2012,Abril,Venezuela,0,1,,1,-77.35002,8.63337
4813,2012,Mayo,Venezuela,0,2,,2,-69.941498,4.191162
4814,2012,Mayo,Venezuela,40,60,,100,-77.35600000000001,0.81488
4815,2012,Mayo,Venezuela,3,12,,15,-75.527794,10.406342
4816,2012,Mayo,Venezuela,88,130,,218,-75.516486,10.446304
4817,2012,Mayo,Venezuela,56,92,,148,-74.77647900000001,10.886686
4818,2012,Mayo,Venezuela,0,1,,1,-74.765343,10.970933
4819,2012,Mayo,Venezuela,0,2,,2,-74.213989,11.247722999999999
4820,2012,Mayo,Venezuela,1008,1448,,2456,-72.129595,11.360028999999999
4821,2012,Mayo,Venezuela,1,5,,6,-72.919186,11.52863
4822,2012,Mayo,Venezuela,11,9,,20,-81.70216500000001,12.5862
4823,2012,Mayo,Venezuela,52,78,,130,-76.532004,3.451668
4824,2012,Mayo,Venezuela,3812,5305,,9117,-74.140516,4.697157
4825,2012,Mayo,Venezuela,5,20,,25,-75.736374,4.815189
4826,2012,Mayo,Venezuela,320,415,,735,-75.42726,6.170465
4827,2012,Mayo,Venezuela,0,4,,4,-67.48402800000001,6.185536
4828,2012,Mayo,Venezuela,30,68,,98,-70.74025300000001,7.088728999999999
4829,2012,Mayo,Venezuela,13,20,,33,-73.181317,7.1280470000000005
4830,2012,Mayo,Venezuela,851,1016,,1867,-72.453013,7.819
4831,2012,Mayo,Venezuela,175,197,,372,-72.508188,7.927233
4832,2012,Mayo,Venezuela,0,1,,1,-77.35002,8.63337
5779,2012,Junio,Venezuela,32,69,,101,-77.35600000000001,0.81488
5780,2012,Junio,Venezuela,0,27,,27,-75.527794,10.406342
5781,2012,Junio,Venezuela,80,122,,202,-75.516486,10.446304
5782,2012,Junio,Venezuela,40,97,,137,-74.77647900000001,10.886686
5783,2012,Junio,Venezuela,0,2,,2,-74.213989,11.247722999999999
5784,2012,Junio,Venezuela,1048,1561,,2609,-72.129595,11.360028999999999
5785,2012,Junio,Venezuela,3,1,,4,-72.919186,11.52863
5786,2012,Junio,Venezuela,11,10,,21,-81.70216500000001,12.5862
5787,2012,Junio,Venezuela,39,50,,89,-76.532004,3.451668
5788,2012,Junio,Venezuela,3770,4979,,8749,-74.140516,4.697157
5789,2012,Junio,Venezuela,3,13,,16,-75.736374,4.815189
5790,2012,Junio,Venezuela,292,362,,654,-75.42726,6.170465
5791,2012,Junio,Venezuela,7,4,,11,-67.48402800000001,6.185536
5792,2012,Junio,Venezuela,59,110,,169,-70.74025300000001,7.088728999999999
5793,2012,Junio,Venezuela,7,10,,17,-73.181317,7.1280470000000005
5794,2012,Junio,Venezuela,1018,1303,,2321,-72.453013,7.819
5795,2012,Junio,Venezuela,186,236,,422,-72.508188,7.927233
6779,2012,Julio,Venezuela,1,1,,2,-76.876446,0.33002
6780,2012,Julio,Venezuela,47,75,,122,-77.35600000000001,0.81488
6781,2012,Julio,Venezuela,0,3,,3,-75.527794,10.406342
6782,2012,Julio,Venezuela,88,94,,182,-75.516486,10.446304
6783,2012,Julio,Venezuela,29,70,,99,-74.77647900000001,10.886686
6784,2012,Julio,Venezuela,0,5,,5,-74.232675,11.117206
6785,2012,Julio,Venezuela,1810,2333,,4143,-72.129595,11.360028999999999
6786,2012,Julio,Venezuela,1,2,,3,-72.919186,11.52863
6787,2012,Julio,Venezuela,22,24,,46,-81.70216500000001,12.5862
6788,2012,Julio,Venezuela,37,55,,92,-76.532004,3.451668
6789,2012,Julio,Venezuela,0,1,,1,-75.76635300000001,4.45285
6790,2012,Julio,Venezuela,4918,6202,,11120,-74.140516,4.697157
6791,2012,Julio,Venezuela,5,17,,22,-75.736374,4.815189
6792,2012,Julio,Venezuela,478,511,,989,-75.42726,6.170465
6793,2012,Julio,Venezuela,7,4,,11,-67.48402800000001,6.185536
6794,2012,Julio,Venezuela,30,40,,70,-70.74025300000001,7.088728999999999
6795,2012,Julio,Venezuela,5,4,,9,-73.181317,7.1280470000000005
6796,2012,Julio,Venezuela,1785,1888,,3673,-72.453013,7.819
6797,2012,Julio,Venezuela,282,263,,545,-72.508188,7.927233
7754,2012,Agosto,Venezuela,0,1,,1,-69.941498,4.191162
7755,2012,Agosto,Venezuela,5,1,,6,-76.876446,0.33002
